Brand,Model_name,Model_colour,RAM(GB),ROM(GB),Display,Processor,Current_price,Original_price,Discount(%),Rating
Apple,Apple iPhone XR ,White,4,64,15.49 cm (6.1 inch) Display,A12 Bionic Chip Processor,44999,47900,6,4.6
OPPO,OPPO A31 ,Mystery Black,4,64,16.51 cm (6.5 inch) HD+ Display,MediaTek Helio P35 Octa Core Processor,12490,12990,3,4.3
OPPO,OPPO A31 ,Fantasy White,4,64,16.51 cm (6.5 inch) HD+ Display,MediaTek Helio P35 Octa Core Processor,12490,12990,3,4.3
OPPO,OPPO A31 ,Mystery Black,4,64,16.51 cm (6.5 inch) HD+ Display,MediaTek Helio P35 Octa Core Processor,12490,12990,3,4.3
OPPO,OPPO A12 ,Black,4,64,15.8 cm (6.22 inch) HD+ Display,MediaTek Helio P35 Processor,11490,11990,4,4.3
Realme,Realme X3 ,Arctic White,6,128,120 Hz Smooth Display,Qualcomm Snapdragon 855+ Processor,21999,26999,18,4.4
OPPO,OPPO Reno2 F ,Lake Green,8,128,16.51 cm (6.5 inch) Display,MTK MT6771V(P70) 64bit Processor,21990,28990,24,4.4
Realme,Realme C15 ,Power Blue,4,64,16.56 cm (6.52 inch) HD+ Display,Mediatek Helio G35 Processor,10999,12999,15,4.4
Realme,Realme 7 Pro ,Mirror Blue,6,128,Super AMOLED Display,Qualcomm Snapdragon 720G Processor,19999,20999,4,4.4
Infinix,Infinix Note 7 ,Bolivia Blue,4,64,17.65 cm (6.95 inch) HD+ Display,MediaTek Helio G70 Processor,10999,14999,26,4.3
Vivo,Vivo Y20 ,Purist Blue,6,64,16.54 cm (6.51 inch) HD+ Display,Qualcomm Snapdragon 460 Processor,13990,17990,22,4.4
Vivo,Vivo Y20 ,Obsidian Black,6,64,16.54 cm (6.51 inch) HD+ Display,Qualcomm Snapdragon 460 Processor,13990,17990,22,4.4
Tecno,Tecno POVA ,Magic Blue,6,128,17.27 cm (6.8 inch) HD+ Display,MediaTek Helio G80 Processor,11999,13999,14,4.3
Tecno,Tecno Spark Power 2 ,Ice Jadeite,4,64,17.78 cm (7 inch) HD+ Display,MediaTek Helio P22 Octa Core Processor,9999,11999,16,4.3
Tecno,Tecno Spark Power 2 ,Misty Grey,4,64,17.78 cm (7 inch) HD+ Display,MediaTek Helio P22 Octa Core Processor,9999,11999,16,4.3
Realme,Realme Narzo 10 ,That Blue,4,128,16.51 cm (6.5 inch) HD+ Display,MediaTek Helio G80 (12 nm) Processor,11999,12999,7,4.5
Realme,Realme X3 ,Glacier Blue,6,128,120 Hz Smooth Display,Qualcomm Snapdragon 855+ Processor,21999,26999,18,4.4
Realme,Realme C3 ,Blazing Red,4,64,16.56 cm (6.52 inch) HD+ Display,Helio G70 Processor,9999,9999,0,4.4
Realme,Realme Narzo 10A ,So Blue,4,64,16.56 cm (6.52 inch) HD+ Display,MediaTek Helio G70 (12 nm) Processor,9999,10999,9,4.5
Realme,Realme Narzo 10A ,So White,4,64,16.56 cm (6.52 inch) HD+ Display,MediaTek Helio G70 (12 nm) Processor,9999,10999,9,4.5
Honor,Honor 9X ,Midnight Black,4,128,Pop Up AI Selfie camera with Full View Display,Kirin 710F Processor,13999,15999,12,4.3
Tecno,Tecno POVA ,Dazzle Black,6,128,17.27 cm (6.8 inch) HD+ Display,MediaTek Helio G80 Processor,11999,13999,14,4.3
Motorola,Motorola G9 ,Forest Green,4,64,16.51 cm (6.5 inch) HD+ Display,Qualcomm Snapdragon 662 Processor,10999,14999,26,4.2
Tecno,Tecno Spark Go 2020 ,Mystery White,2,32,16.56 cm (6.52 inch) HD+ Display,MediaTek Helio A20 Quad Core Processor,6799,7999,15,4.4
Realme,Realme C3 ,Frozen Blue,4,64,16.56 cm (6.52 inch) HD+ Display,Helio G70 Processor,9999,9999,0,4.4
OPPO,OPPO A31 ,Lake Green,6,128,16.51 cm (6.5 inch) HD+ Display,MediaTek Helio P35 Octa Core Processor,11990,15990,25,4.3
